ip,category
10.0.0.0/8,RFC1918
10.0.11.0/24,RFC1918
10.0.11.0/24,RFC1918
10.0.54.0/24,RFC1918
10.1.10.0/24,RFC1918
10.3.24.0/24,RFC1918
10.3.25.0/24,RFC1918
10.10.69.0/24,RFC1918
10.10.151.0/24,RFC1918
10.11.0.0/16,RFC1918
10.12.1.0/24,RFC1918
10.12.13.0/24,RFC1918
10.12.15.0/24,RFC1918
10.16.66.0/23,RFC1918
10.16.69.0/24,RFC1918
10.26.20.0/24,RFC1918
10.27.0.0/16,RFC1918
10.33.9.0/24,RFC1918
10.47.0.0/24,RFC1918
10.127.0.0/16,RFC1918
10.128.0.0/16,RFC1918
10.129.0.0/16,RFC1918
10.130.0.0/16,RFC1918
10.228.208.0/24,RFC1918
10.228.209.0/24,RFC1918
10.228.217.0/24,RFC1918
10.250.99.0/24,RFC1918
10.253.10.0/24,RFC1918
10.255.208.0/22,RFC1918
10.255.212.0/24,RFC1918
10.255.216.0/22,RFC1918
10.255.216.0/24,RFC1918
14.192.48.0/24,unallocated
14.192.49.0/24,unallocated
14.192.50.0/24,unallocated
14.192.51.0/24,unallocated
23.226.112.0/20,unallocated
27.100.7.0/24,unallocated
36.255.248.0/22,unallocated
36.255.250.0/24,unallocated
41.76.232.0/21,unallocated
41.77.248.0/21,unallocated
41.78.12.0/23,unallocated
41.78.180.0/23,unallocated
41.79.12.0/22,unallocated
41.242.132.0/23,unallocated
43.228.144.0/22,unallocated
43.241.247.0/24,unallocated
43.251.20.0/22,unallocated
43.251.84.0/22,unallocated
43.251.84.0/23,unallocated
43.251.85.0/24,unallocated
45.155.139.0/24,unallocated
64.29.240.0/20,unallocated
64.126.208.0/24,unallocated
64.126.209.0/24,unallocated
64.126.222.0/23,unallocated
64.126.224.0/24,unallocated
64.126.225.0/24,unallocated
64.126.226.0/24,unallocated
64.126.250.0/24,unallocated
64.234.236.0/24,unallocated
64.234.237.0/24,unallocated
64.234.238.0/24,unallocated
64.234.239.0/24,unallocated
65.75.216.0/23,unallocated
65.75.217.0/24,unallocated
66.7.64.0/19,unallocated
66.11.224.0/21,unallocated
66.11.234.0/24,unallocated
66.11.236.0/22,unallocated
66.59.192.0/19,unallocated
66.78.66.0/23,unallocated
66.78.68.0/22,unallocated
66.78.76.0/23,unallocated
66.78.80.0/21,unallocated
66.78.91.0/24,unallocated
66.187.240.0/20,unallocated
66.205.224.0/19,unallocated
67.208.48.0/20,unallocated
67.208.48.0/20,unallocated
68.234.0.0/19,unallocated
68.234.0.0/24,unallocated
68.234.1.0/24,unallocated
68.234.2.0/24,unallocated
68.234.3.0/24,unallocated
68.234.6.0/24,unallocated
68.234.7.0/24,unallocated
68.234.8.0/24,unallocated
68.234.12.0/24,unallocated
68.234.25.0/24,unallocated
68.234.30.0/24,unallocated
68.234.31.0/24,unallocated
69.5.53.0/24,unallocated
69.5.56.0/24,unallocated
69.5.58.0/24,unallocated
72.19.0.0/19,unallocated
74.114.16.0/24,unallocated
74.114.17.0/24,unallocated
74.114.18.0/24,unallocated
74.114.19.0/24,unallocated
74.114.20.0/24,unallocated
74.114.21.0/24,unallocated
74.114.22.0/24,unallocated
74.115.146.0/24,unallocated
74.115.150.0/24,unallocated
74.115.151.0/24,unallocated
74.120.236.0/24,unallocated
74.123.99.0/24,unallocated
74.123.136.0/21,unallocated
91.192.9.0/24,unallocated
91.209.115.0/24,unallocated
91.212.141.0/24,unallocated
91.234.20.0/24,unallocated
93.157.184.0/22,unallocated
98.143.160.0/24,unallocated
98.143.161.0/24,unallocated
98.143.162.0/24,unallocated
98.143.163.0/24,unallocated
98.143.164.0/24,unallocated
98.143.165.0/24,unallocated
98.143.166.0/24,unallocated
98.143.167.0/24,unallocated
98.143.168.0/22,unallocated
98.143.172.0/22,unallocated
98.143.172.0/24,unallocated
98.143.173.0/24,unallocated
98.143.174.0/24,unallocated
98.143.175.0/24,unallocated
100.64.0.0/10,unallocated
100.64.0.0/16,unallocated
100.64.1.0/24,unallocated
100.64.23.0/24,unallocated
100.65.0.0/16,unallocated
100.66.0.0/16,unallocated
100.67.0.0/16,unallocated
100.68.0.0/16,unallocated
100.69.0.0/16,unallocated
100.70.0.0/16,unallocated
100.71.0.0/16,unallocated
100.72.0.0/16,unallocated
100.73.0.0/16,unallocated
100.74.0.0/16,unallocated
100.75.0.0/16,unallocated
100.75.12.0/24,unallocated
100.76.0.0/16,unallocated
100.77.0.0/16,unallocated
100.78.0.0/16,unallocated
100.79.0.0/16,unallocated
100.80.0.0/16,unallocated
100.81.0.0/16,unallocated
100.82.0.0/16,unallocated
100.83.0.0/16,unallocated
100.84.0.0/16,unallocated
100.85.0.0/16,unallocated
100.86.0.0/16,unallocated
100.87.0.0/16,unallocated
100.88.0.0/16,unallocated
100.89.0.0/16,unallocated
100.90.0.0/16,unallocated
100.91.0.0/16,unallocated
100.92.0.0/16,unallocated
100.93.0.0/16,unallocated
100.94.0.0/16,unallocated
100.95.0.0/16,unallocated
100.96.0.0/16,unallocated
100.97.0.0/16,unallocated
100.98.0.0/16,unallocated
100.99.0.0/16,unallocated
100.100.0.0/16,unallocated
100.101.0.0/16,unallocated
100.102.0.0/16,unallocated
100.103.0.0/16,unallocated
100.104.0.0/16,unallocated
100.105.0.0/16,unallocated
100.106.0.0/16,unallocated
100.107.0.0/16,unallocated
100.108.0.0/16,unallocated
100.108.77.0/24,unallocated
100.109.0.0/16,unallocated
100.110.0.0/16,unallocated
100.111.0.0/16,unallocated
100.112.0.0/16,unallocated
100.112.0.0/17,unallocated
100.112.128.0/17,unallocated
100.113.0.0/16,unallocated
100.113.0.0/17,unallocated
100.113.128.0/17,unallocated
100.114.0.0/16,unallocated
100.114.0.0/17,unallocated
100.114.128.0/17,unallocated
100.115.0.0/16,unallocated
100.115.0.0/17,unallocated
100.115.128.0/17,unallocated
100.116.0.0/16,unallocated
100.116.0.0/17,unallocated
100.116.128.0/17,unallocated
100.117.0.0/16,unallocated
100.117.0.0/17,unallocated
100.117.128.0/17,unallocated
100.118.0.0/16,unallocated
100.118.0.0/17,unallocated
100.118.128.0/17,unallocated
100.119.0.0/16,unallocated
100.119.128.0/17,unallocated
