ip,category
100.120.0.0/16,unallocated
100.120.128.0/17,unallocated
100.121.0.0/16,unallocated
100.122.0.0/16,unallocated
100.123.0.0/16,unallocated
100.125.176.0/22,unallocated
102.6.204.0/23,unallocated
102.6.206.0/23,unallocated
103.14.22.0/24,unallocated
103.17.32.0/24,unallocated
103.18.45.0/24,unallocated
103.20.219.0/24,unallocated
103.22.218.0/24,unallocated
103.22.219.0/24,unallocated
103.23.247.0/24,unallocated
103.25.164.0/24,unallocated
103.29.237.0/24,unallocated
103.35.216.0/24,unallocated
103.38.180.0/22,unallocated
103.39.68.0/22,unallocated
103.39.72.0/22,unallocated
103.47.128.0/22,unallocated
103.48.160.0/22,unallocated
103.49.236.0/24,unallocated
103.49.237.0/24,unallocated
103.49.239.0/24,unallocated
103.62.148.0/24,unallocated
103.62.149.0/24,unallocated
103.62.150.0/24,unallocated
103.68.232.0/24,unallocated
103.68.233.0/24,unallocated
103.68.234.0/24,unallocated
103.68.235.0/24,unallocated
103.196.152.0/24,unallocated
103.196.154.0/24,unallocated
103.196.155.0/24,unallocated
103.197.156.0/24,unallocated
103.197.157.0/24,unallocated
103.197.158.0/24,unallocated
103.197.159.0/24,unallocated
103.229.232.0/22,unallocated
103.229.232.0/24,unallocated
103.229.235.0/24,unallocated
103.236.214.0/23,unallocated
103.237.50.0/23,unallocated
103.237.86.0/23,unallocated
103.238.66.0/23,unallocated
103.238.114.0/23,unallocated
103.238.218.0/23,unallocated
103.239.14.0/23,unallocated
103.239.22.0/23,unallocated
103.239.42.0/23,unallocated
103.239.66.0/23,unallocated
103.242.78.0/23,unallocated
103.243.8.0/22,unallocated
103.243.19.0/24,unallocated
103.244.22.0/23,unallocated
103.244.26.0/23,unallocated
103.244.224.0/22,unallocated
103.245.170.0/23,unallocated
103.246.62.0/23,unallocated
103.247.28.0/24,unallocated
103.247.29.0/24,unallocated
103.247.31.0/24,unallocated
103.247.242.0/23,unallocated
103.248.10.0/23,unallocated
103.248.240.0/22,unallocated
103.249.32.0/22,unallocated
103.251.71.0/24,unallocated
103.252.180.0/22,unallocated
103.254.116.0/22,unallocated
103.254.212.0/24,unallocated
103.254.213.0/24,unallocated
103.254.214.0/24,unallocated
103.254.215.0/24,unallocated
104.232.0.0/20,unallocated
104.232.0.0/23,unallocated
104.232.5.0/24,unallocated
104.232.9.0/24,unallocated
104.232.15.0/24,unallocated
113.212.64.0/23,unallocated
113.212.64.0/24,unallocated
113.212.65.0/24,unallocated
115.124.36.0/22,unallocated
116.199.200.0/24,unallocated
116.199.201.0/24,unallocated
116.199.202.0/24,unallocated
116.199.203.0/24,unallocated
116.199.204.0/24,unallocated
116.199.205.0/24,unallocated
116.199.206.0/24,unallocated
116.199.207.0/24,unallocated
119.160.232.0/21,unallocated
123.253.0.0/16,unallocated
123.253.132.0/23,unallocated
142.147.62.0/24,unallocated
146.255.112.0/21,unallocated
149.255.16.0/22,unallocated
149.255.20.0/22,unallocated
156.0.0.0/16,unallocated
162.212.34.0/23,unallocated
162.216.66.0/23,unallocated
162.216.176.0/22,unallocated
162.216.242.0/23,unallocated
162.219.56.0/22,unallocated
162.221.64.0/21,unallocated
162.222.128.0/21,unallocated
162.245.64.0/21,unallocated
162.246.240.0/24,unallocated
162.246.241.0/24,unallocated
162.246.242.0/24,unallocated
162.246.243.0/24,unallocated
162.246.245.0/24,unallocated
162.246.246.0/24,unallocated
162.246.247.0/24,unallocated
162.248.224.0/21,unallocated
162.252.34.0/23,unallocated
162.254.176.0/23,unallocated
166.93.0.0/16,unallocated
167.88.48.0/20,unallocated
168.112.0.0/21,unallocated
168.112.8.0/21,unallocated
169.254.0.0/16,link-local
172.16.0.0/12,RFC1918
172.16.0.0/12,RFC1918
172.16.200.0/24,RFC1918
172.18.0.0/16,RFC1918
172.18.8.0/22,RFC1918
172.19.0.0/16,RFC1918
172.19.0.0/16,RFC1918
172.20.0.0/16,RFC1918
172.30.102.0/24,RFC1918
172.30.103.0/24,RFC1918
172.30.144.0/20,RFC1918
172.30.247.0/24,RFC1918
172.30.248.0/24,RFC1918
172.30.249.0/24,RFC1918
172.30.251.0/24,RFC1918
172.86.232.0/24,unallocated
172.86.233.0/24,unallocated
172.86.234.0/24,unallocated
172.86.235.0/24,unallocated
172.96.22.0/23,unallocated
172.102.0.0/22,unallocated
172.110.202.0/23,unallocated
173.242.176.0/20,unallocated
173.249.180.0/24,unallocated
173.249.187.0/24,unallocated
173.249.187.0/24,unallocated
173.249.188.0/24,unallocated
173.249.188.0/24,unallocated
173.249.190.0/24,unallocated
173.249.191.0/24,unallocated
176.102.64.0/24,unallocated
176.102.65.0/24,unallocated
176.102.66.0/24,unallocated
176.102.67.0/24,unallocated
176.102.69.0/24,unallocated
176.102.70.0/24,unallocated
176.102.71.0/24,unallocated
177.10.134.0/23,unallocated
177.10.190.0/23,unallocated
177.11.26.0/23,unallocated
177.11.28.0/23,unallocated
177.72.218.0/23,unallocated
185.4.176.0/22,unallocated
185.23.76.0/24,unallocated
185.23.76.0/24,unallocated
185.23.77.0/24,unallocated
185.23.200.0/24,unallocated
185.23.204.0/22,unallocated
186.195.240.0/22,unallocated
192.0.2.0/24,documentation
192.0.2.0/24,documentation
192.0.2.0/24,documentation
192.0.2.0/24,documentation
192.12.104.0/22,unallocated
192.12.104.0/24,unallocated
192.12.105.0/24,unallocated
192.12.106.0/24,unallocated
192.12.107.0/24,unallocated
192.25.10.0/24,unallocated
192.25.10.0/24,unallocated
192.25.11.0/24,unallocated
192.25.11.0/24,unallocated
192.25.13.0/24,unallocated
192.25.13.0/24,unallocated
192.25.14.0/24,unallocated
192.25.14.0/24,unallocated
192.31.196.0/24,unallocated
192.34.152.0/21,unallocated
192.43.161.0/24,unallocated
192.67.160.0/24,unallocated
192.67.161.0/24,unallocated
192.67.162.0/24,unallocated
192.67.163.0/24,unallocated
192.75.239.0/24,unallocated
192.77.187.0/24,unallocated
192.84.24.0/24,unallocated
192.84.24.0/24,unallocated
192.92.236.0/22,unallocated
192.101.72.0/24,unallocated
192.124.252.0/22,unallocated
192.133.101.0/24,unallocated
192.149.81.0/24,unallocated
192.154.32.0/19,unallocated
192.154.64.0/19,unallocated
192.168.0.0/16,RFC1918
192.168.0.0/16,RFC1918
192.168.1.0/24,RFC1918
192.168.5.0/24,RFC1918
192.168.5.0/24,RFC1918
192.168.14.0/24,RFC1918
192.168.32.0/19,RFC1918
192.168.50.0/24,RFC1918
192.168.50.0/24,RFC1918
192.168.129.0/24,RFC1918
192.168.206.0/24,RFC1918
192.168.241.0/24,RFC1918
192.188.208.0/20,unallocated
192.206.142.0/23,unallocated
192.206.183.0/24,unallocated
193.8.167.0/24,unallocated
193.16.145.0/24,unallocated
193.22.224.0/20,unallocated
193.34.198.0/24,unallocated
193.56.203.0/24,unallocated
193.178.196.0/22,unallocated
193.200.130.0/24,unallocated
193.202.8.0/21,unallocated
194.55.1.0/24,unallocated
194.126.233.0/24,unallocated
195.230.97.0/24,unallocated
196.44.48.0/21,unallocated
197.149.164.0/22,unallocated
197.159.224.0/19,unallocated
197.214.120.0/21,unallocated
197.214.124.0/22,unallocated
197.231.224.0/22,unallocated
198.8.96.0/19,unallocated
198.18.0.0/15,benchmark
198.22.195.0/24,unallocated
198.23.26.0/24,unallocated
198.49.200.0/24,unallocated
198.51.100.0/24,documentation
198.51.100.0/24,documentation
198.62.196.0/24,unallocated
198.91.44.0/22,unallocated
198.97.72.0/21,unallocated
198.97.96.0/19,unallocated
198.97.240.0/20,unallocated
198.163.214.0/24,unallocated
198.168.0.0/16,unallocated
198.180.251.0/24,unallocated
198.190.234.0/24,unallocated
198.245.14.0/24,unallocated
199.27.188.0/22,unallocated
199.33.232.0/23,unallocated
199.68.6.0/23,unallocated
199.115.176.0/21,unallocated
199.116.200.0/21,unallocated
199.116.214.0/23,unallocated
199.121.0.0/16,unallocated
199.123.16.0/20,unallocated
199.168.192.0/22,unallocated
199.182.207.0/24,unallocated
199.187.226.0/23,unallocated
199.190.235.0/24,unallocated
199.190.236.0/24,unallocated
199.204.160.0/23,unallocated
199.241.34.0/23,unallocated
199.255.58.0/23,unallocated
199.255.102.0/23,unallocated
201.131.88.0/24,unallocated
202.8.106.0/24,unallocated
202.53.138.0/24,unallocated
202.94.1.0/24,unallocated
202.125.84.0/23,unallocated
202.125.84.0/24,unallocated
202.125.85.0/24,unallocated
202.158.251.0/24,unallocated
202.181.4.0/24,unallocated
203.0.113.0/24,unallocated
203.6.208.0/24,unallocated
203.6.209.0/24,unallocated
203.6.210.0/24,unallocated
203.6.211.0/24,unallocated
203.6.215.0/24,unallocated
203.89.101.0/24,unallocated
203.89.103.0/24,unallocated
203.89.107.0/24,unallocated
203.175.11.0/24,unallocated
203.189.116.0/24,unallocated
204.9.64.0/22,unallocated
204.9.64.0/23,unallocated
204.9.66.0/23,unallocated
204.9.240.0/21,unallocated
204.9.240.0/22,unallocated
204.9.244.0/22,unallocated
204.10.90.0/23,unallocated
204.13.0.0/21,unallocated
204.13.0.0/22,unallocated
204.13.4.0/22,unallocated
204.13.158.0/23,unallocated
204.15.208.0/22,unallocated
204.62.116.0/24,unallocated
204.62.117.0/24,unallocated
204.62.118.0/24,unallocated
204.62.119.0/24,unallocated
204.69.139.0/24,unallocated
204.76.203.0/24,unallocated
204.187.11.0/24,unallocated
204.235.245.0/24,unallocated
204.239.11.0/24,unallocated
205.137.240.0/20,unallocated
205.166.231.0/24,unallocated
205.167.128.0/23,unallocated
205.211.160.0/24,unallocated
207.2.120.0/21,unallocated
207.167.64.0/18,unallocated
207.174.131.0/24,unallocated
207.174.132.0/23,unallocated
207.174.152.0/23,unallocated
207.174.154.0/24,unallocated
207.174.155.0/24,unallocated
207.174.200.0/24,unallocated
207.231.96.0/19,unallocated
207.254.128.0/21,unallocated
207.254.136.0/21,unallocated
208.66.64.0/24,unallocated
208.66.65.0/24,unallocated
208.66.66.0/24,unallocated
208.66.67.0/24,unallocated
208.67.132.0/22,unallocated
208.72.53.0/24,unallocated
208.73.40.0/22,unallocated
208.73.41.0/24,unallocated
208.73.224.0/22,unallocated
208.73.224.0/23,unallocated
208.73.226.0/23,unallocated
208.76.20.0/23,unallocated
208.76.20.0/24,unallocated
208.76.21.0/24,unallocated
208.76.216.0/22,unallocated
208.76.218.0/23,unallocated
208.77.166.0/24,unallocated
208.77.166.0/24,unallocated
208.79.128.0/22,unallocated
208.83.38.0/23,unallocated
208.83.53.0/24,unallocated
208.84.124.0/22,unallocated
208.92.10.0/23,unallocated
208.93.54.0/23,unallocated
208.93.218.0/23,unallocated
208.95.112.0/23,unallocated
209.135.171.0/24,unallocated
209.135.175.0/24,unallocated
209.193.112.0/20,unallocated
216.9.224.0/20,unallocated
216.146.0.0/19,unallocated
216.152.24.0/22,unallocated
216.170.96.0/24,unallocated
216.170.101.0/24,unallocated
216.170.104.0/24,unallocated
216.170.105.0/24,unallocated
216.234.132.0/24,unallocated
216.238.192.0/24,unallocated
216.238.193.0/24,unallocated
216.238.194.0/24,unallocated
216.238.196.0/22,unallocated
216.251.50.0/24,unallocated
216.251.53.0/24,unallocated
216.251.62.0/24,unallocated
220.152.112.0/21,unallocated
